result,time,hand,states,path
success,80622,BDPRTZ,5776679,79
success,3038,DDPRUZ,237709,71
success,91176,ACFPQZ,6480280,76
success,504,LLOTVW,33907,70
success,384,GLOVXZ,28300,70
success,8300,FGLUXZ,565351,70
fail,18,LOQVWZ,1014,
fail,29,ADKLVZ,1992,
success,49920,DGRSVZ,3219318,73
success,241,FLRSVX,18223,70
fail,1,AFLLWZ,96,
success,2019,BFGUVZ,145573,73
success,2744,ALOORV,185902,76
fail,5,BDFLSZ,448,
success,4884,DRRTUX,288458,80
success,50848,ABCDFG,3492478,60
success,1385,AORTUV,103104,82
success,1449,AKLOPZ,116996,76
success,2276,BCLRUV,173471,77
success,1379,ALOVXZ,108095,70
success,2432,GKPQRU,191049,66
fail,22186,DFLTVX,1777992,
success,58,OVWXXZ,3951,64
success,21814,PRUXZZ,1449759,69
success,18459,CDKSTT,1375420,69
success,788,GRTUUX,53311,69
success,13583,OPTVZZ,1046924,70
success,12882,CPSUVW,944042,61
fail,1,ADDLZZ,84,
success,11376,AKLORR,803356,72
success,5605,AFGKLV,403858,72
fail,37,ADFKVZ,2389,
success,94351,CORSWW,6794674,63
success,2450,CLLORX,144274,62
success,9286,DFPUVV,654212,72
success,1831,DRTUVX,139275,74
success,4048,CLVXZZ,293210,65
exhaust,151570,AFFOPZ,,
success,10983,ORRTXZ,595280,73
fail,11,BFLTVZ,848,
success,3767,BCOPXZ,237673,72
success,248,DGTUUZ,16518,69
success,83635,FOUUWX,5302369,62
success,18037,AOQRTX,1201878,68
success,27087,FGVWXZ,1798834,71
success,2779,BDRRTV,202756,72
success,12546,AFLOPZ,881750,74
success,8113,ALOQVW,554360,69
success,2839,ORXXZZ,247727,68
fail,5,AFFKTV,328,
success,24542,BDFFOR,1670917,70
success,112491,DORSTX,7751847,72
success,316,DDLOOR,23525,64
success,2989,FLOUVX,206795,71
success,37644,FKUVXX,2613511,72
exhaust,214069,AKORWZ,,
success,2696,CPQVXZ,210767,67
success,15514,ADKRTT,990236,66
fail,68,LQXXZZ,4113,
success,3243,FRTVXZ,260372,69
fail,20,BDLOSW,1466,
exhaust,135146,FKLOPZ,,
success,200,RSTTXX,14280,70
success,17811,RTVVVW,1211662,62
success,6287,BDGLRW,395457,70
success,4836,CLRSXX,379618,73
success,3863,DFFKOR,265328,75
success,8404,BFGSTX,537430,70
success,1406,LOPUWX,93181,64
success,5321,DLOTUZ,383281,65
success,9272,DOTVVW,731133,78
success,1554,AFLQRR,151704,72
success,45871,BCDOXZ,3094923,71
success,10750,COTUUZ,767345,69
success,979,GLORXX,80182,72
success,2979,BDGLOR,194681,77
success,9584,DFQTUU,739203,61
fail,69,ALLOOX,4074,
success,12619,AFRUXZ,855170,66
success,55663,FKTUVZ,4059510,66
fail,3414,BDKOOX,196261,
success,40098,CLQTVW,3101827,70
success,311,TUVWWZ,28445,61
success,31,DFLRSW,2441,72
fail,3565,FLOTTX,307759,
success,14563,LRRTTZ,1068963,75
fail,16,DKSVVZ,1056,
fail,105,ABLTWX,5846,
fail,946,FOSTXZ,74260,
success,11371,FFFPRS,1002325,72
fail,280,BDFXXX,20281,
success,21306,FFKLUV,1723302,66
fail,9,ADLQSW,498,
success,187,FLLOTV,15455,71
fail,10884,DLOTXZ,859188,
success,8337,CDDTUX,513362,64
fail,1305,ACOOST,110820,
exhaust,130168,AADOSV,,
success,23073,BLRRST,1687122,71
fail,12,AFOQVW,616,
success,4102,FORVVZ,393824,77
success,28429,FPQRTV,2137132,78
success,7414,DFOVXZ,529628,69
success,8654,FGTVXX,762065,70
fail,5,ADDFKW,331,
success,3563,ADLPSX,243187,77
success,4551,DLPQUV,319631,68
success,3173,LORTUV,253033,81
success,4718,AOQVXX,355034,67
success,5984,CGKLOX,442003,70
success,3926,ALRUXZ,330360,71
success,3165,ADLOXZ,243176,75
fail,1,ABFLZZ,108,
success,7551,AFLSUZ,574292,68
success,111354,CDORVZ,7507076,73
success,3919,ADDFOV,268810,68
success,3033,DDOOVW,213045,56
success,39142,DFGORV,2975448,69
success,51548,ACDTWX,3574412,68
success,4941,ACRXZZ,423874,70
success,2861,OSUVWZ,185240,62
success,14278,BDFLUV,920645,69
success,439,BFLORV,35799,68
fail,38,BLPQST,2026,
success,4134,ADOQXZ,316081,67
exhaust,159213,DOQUZZ,,
success,12821,OPQVWX,899303,64
success,5875,BCKSTV,441851,74
fail,35,DFKVWZ,2214,
exhaust,126257,BKOTVZ,,
success,5651,CTUWXX,440755,72
fail,27,DFVVWZ,1788,
success,11621,ADRTVW,933731,73
fail,981,LOTUUZ,69691,
success,1794,FOPVXZ,151890,57
fail,6,DDFLVW,609,
success,26159,BCLUVZ,1343112,70
success,16928,CDDFOU,1068418,57
fail,85,ADLSTU,6658,
success,4346,BLRSVZ,326921,68
fail,173,KLVVXZ,10992,
success,6242,AOQRRV,366409,74
success,4039,ADFRSV,314028,71
success,629,LOTVWX,43644,72
success,1627,CKLQWW,111453,64
success,421,GLUVVX,32983,73
success,25280,KOUUVX,1956171,77
fail,16,FFKOQT,1245,
success,11005,BDRSVW,755738,64
success,1524,FRSWXZ,115798,70
success,2453,DOVWXZ,178508,73
success,6474,AFPUXZ,598834,73
success,81982,FFRTVV,6010005,70
success,1612,BLOPUZ,119514,74
success,5136,AFLRWX,290080,73
fail,3062,ADKLVX,189226,
success,2266,PQSTWX,171200,66
success,7264,DDFRTV,551826,69
fail,5220,ADOQTX,265376,
fail,615,ADSXXZ,38058,
success,1622,ADLPTX,117696,79
success,129304,FFFLPV,8671643,73
success,2935,FGOQVV,211829,70
success,2394,FOSUWZ,207249,69
fail,327,KLRTUZ,29870,
success,406,ADDORV,33181,55
success,27451,RSVWZZ,1897357,78
success,704,ADGOUX,53148,65
success,6138,DOSUWZ,513221,76
success,18350,FLOVXZ,1465652,68
success,1554,FKOOPZ,106988,68
fail,28,ABFQUZ,3006,
success,550,ADLORW,48599,72
success,1012,DKLOTV,70352,57
success,1272,ACLLQU,87957,69
success,11479,ACFPRT,806205,80
success,7857,BFRTVX,599902,76
success,43378,DDGPUZ,3166628,63
success,129,DRVVVW,10191,68
success,109,CDFRVW,6376,68
success,1038,CLRSTX,62124,65
success,63549,AFFOPR,4397949,72
success,32286,DGOPTU,2067271,70
success,7206,DKPQVZ,483381,66
fail,209,DKOSTW,13008,
success,227,LLUVWZ,14425,62
fail,6,FLLOOZ,370,
success,6911,DFGLSW,384561,65
success,407,DFGRTZ,41612,56
fail,101,LLTVWX,7728,
exhaust,143423,CDGXZZ,,
success,4554,DLORVZ,329046,72
fail,996,AADFQX,61755,
success,12369,DOPSVZ,760077,66
success,9466,ADORVZ,629921,70
success,243,FPRVVX,18722,67
fail,16778,DLTVXX,1188261,
success,7160,AKPWWZ,580211,75
success,11795,FKRVWX,908249,81
success,5876,RTVWXZ,489718,66
success,12262,DFOTXZ,1025171,66
fail,1,DDLSTZ,80,
success,5565,ADOQRR,405060,73
success,1158,ADLUZZ,98972,70
success,3371,LOUWXZ,276469,64
exhaust,145326,BKSUXZ,,
success,21748,CDFOPU,1397633,77
success,8720,FFGQVX,510926,48
success,19365,BCLTXX,1588699,68
success,6151,CFLORW,416847,63
success,10148,ACOTWX,790461,67
success,701,DFKLRU,57208,66
success,892,LOPTVX,62410,70
fail,78,FKOQWX,4537,
success,10979,ADLPWZ,924228,75
fail,14,ALLOVW,756,
fail,13,BDFLST,1044,
success,9925,QTTUXZ,759942,73
success,1129,DDOVXZ,93198,73
fail,117,LSTVXZ,9341,
success,10866,DFOTTU,928942,74
success,11277,BGRUVZ,729447,76
success,93800,DFPTVW,6598070,70
success,14958,AFOTUZ,1095130,66
exhaust,125012,GORVWZ,,
success,763,CDLORX,63034,68
success,4509,CFLOQT,331703,71
fail,4,AFLQVZ,196,
success,5219,RRVWXZ,320136,71
success,131,DLQUVZ,11095,71
success,981,DLOUVW,73999,65
exhaust,157064,CGUVXZ,,
fail,297,AFFPWZ,21161,
success,18220,BCDOUZ,1202003,65
success,26266,GORVVX,2149142,66
fail,6,BDKLZZ,426,
success,1069,BDOUWX,67465,76
fail,2,LLQVVW,116,
fail,36,FFRWWZ,3562,
