result,time,hand,states,path
success,9397,DFKLPU,595971,57
success,1456,CFORVZ,96000,72
success,72257,DDQTUX,4988416,71
success,34815,OOPTUV,2557100,64
success,4727,DKLORX,331090,70
success,2404,ACGOST,165800,69
success,1074,DLRUWW,86087,66
success,950,AFLOTV,64317,78
success,3656,DFOTUZ,275801,79
success,4750,CGLQVW,364378,72
success,12767,ALRUXZ,843534,68
success,2344,AGRTXZ,187838,70
success,1670,DKRTXX,116348,69
success,6587,AGLTZZ,494010,71
success,22551,CSTVXZ,1645759,61
success,28694,BLLOPW,1965840,73
success,2358,ARSXXZ,195505,69
success,6478,OPTWXX,499517,74
success,65615,DFORUX,4446675,76
exhaust,126124,FLOPRV,,
success,1121,DDFLRZ,86407,68
fail,22,BDLVWZ,1530,
success,644,AFOPQU,43787,75
success,99646,LOPUXX,6945469,67
success,27,BFLORV,2273,68
fail,33,ALTTVW,2117,
fail,364,ALOOXZ,22936,
fail,639,RSTTWZ,53664,
fail,157,LOQTVW,7113,
success,61831,FGRVXZ,3925028,62
success,11207,BCFOXX,681137,68
fail,76,BKVWXZ,4717,
success,39485,BDFOTV,2976553,57
success,302,BFLPRV,22958,70
success,3227,DFOPUX,210092,66
exhaust,125994,GOPUXZ,,
fail,123,KQTTVX,5909,
success,16764,ADGSTX,1120406,71
fail,3,AABKVW,204,
success,19907,AOPTXX,1502287,82
fail,42,LLOSTX,3428,
exhaust,159047,ABDGKR,,
success,4234,FLPRTW,321548,63
success,6585,CORUVV,428851,67
success,19568,FLRUXZ,1308706,69
success,4621,DDFOUZ,327023,68
success,28549,DGLOTT,2151243,69
success,75122,BOQUWZ,4883515,69
success,92032,ADRTTU,5922955,78
success,6780,DSTUXX,445860,78
exhaust,141804,FPQSUX,,
success,4780,DRTVXZ,274862,63
success,3519,DGRTVW,244512,69
exhaust,131267,FGSVVW,,
success,12550,DGLOQZ,896440,61
success,1401,DLOTVW,100416,73
success,5912,DLOPZZ,354247,69
success,12527,DOOQRT,898062,63
success,26296,ORTVWZ,1853575,75
success,10563,DLQUXZ,751062,71
fail,83,DFLTVZ,6844,
success,13881,ORTTXZ,1085428,66
